,date,date.1,city,co,pm2.5,Lat,Long
360,2015-2,2,Kuala Lumpur,494.0,4046.0,3.139003,101.686855
361,2015-2,2,Lima,84.0,1288.0,-12.07054,-77.04322
362,2015-2,2,Linyi,552.0,5252.0,35.104672,118.356448
363,2015-2,2,Moscow,2100.0,236.0,55.759354,37.595584
364,2015-2,2,Mumbai,494.0,4710.0,19.072830200195,72.882606506348
365,2015-2,2,Nagoya,119.0,1865.0,35.1814464,136.906398
366,2015-2,2,Nanyang,500.0,5181.0,32.990833,112.528322
367,2015-2,2,New York,28.0,1577.0,40.7127837,-74.0059413
368,2015-2,2,Paris,168.0,2558.0,48.856614,2.3522219
369,2015-2,2,Seoul,218.0,2929.0,37.566535,126.9779692
370,2015-2,2,Shanghai,211.0,3818.0,31.2047372,121.4489017
371,2015-2,2,Shijiazhuang,634.0,5840.0,38.042307,114.51486
372,2015-2,2,Tianjin,534.0,4514.0,39.084158,117.200983
373,2015-2,2,Tokyo,280.0,1558.0,35.6414629,139.6981712
374,2015-2,2,Weifang,384.0,4992.0,36.706774,119.161756
375,2015-2,2,Zhengzhou,495.0,5637.0,34.7466,113.625368
376,2015-2,2,Zhoukou,909.0,5350.0,33.626149,114.696951
377,2015-3,3,Bangalore,134.0,1674.0,12.938539,77.5901
378,2015-3,3,Baoding,692.0,6400.0,38.873891,115.464806
379,2015-3,3,Beijing,325.0,4635.0,39.954592,116.468117
380,2015-3,3,Changsha,382.0,4153.0,28.228209,112.938814
381,2015-3,3,Chengdu,338.0,4739.0,30.6250145,104.0670559
382,2015-3,3,Chongqing,372.0,4300.0,29.56301,106.551557
383,2015-3,3,Dongguan,282.0,3326.0,23.020536,113.751765
384,2015-3,3,Ganzhou,553.0,3257.0,25.831829,114.93503
385,2015-3,3,Guangzhou,244.0,3211.0,23.141191,113.258374
386,2015-3,3,Handan,452.0,5605.0,36.625604,114.539085
387,2015-3,3,Hyderābād,408.0,4382.0,17.384050369263,78.456359863281
388,2015-3,3,Jinan,498.0,5454.0,36.650997,117.120497
389,2015-3,3,Jining,473.0,5583.0,35.414921,116.587099
390,2015-3,3,Kolkāta,421.0,4794.0,22.562629699707,88.363037109375
391,2015-3,3,Kuala Lumpur,424.0,3919.0,3.139003,101.686855
392,2015-3,3,Lima,93.0,1426.0,-12.07054,-77.04322
393,2015-3,3,Linyi,532.0,5558.0,35.104672,118.356448
394,2015-3,3,Moscow,2325.0,418.0,55.759354,37.595584
395,2015-3,3,Mumbai,483.0,4809.0,19.072830200195,72.882606506348
396,2015-3,3,Nagoya,138.0,2313.0,35.1814464,136.906398
397,2015-3,3,Nanyang,532.0,5380.0,32.990833,112.528322
398,2015-3,3,New York,31.0,1385.0,40.7127837,-74.0059413
399,2015-3,3,Paris,180.0,2921.0,48.856614,2.3522219
400,2015-3,3,Seoul,220.0,3124.0,37.566535,126.9779692
401,2015-3,3,Shanghai,228.0,3663.0,31.2047372,121.4489017
402,2015-3,3,Shijiazhuang,501.0,5592.0,38.042307,114.51486
